"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Авторизации пользователя с неверным логином и паролем.Ожидаемый результат: 401","tests","Mon May 05 18:23:59 MSK 2025","passed","Mon May 05 18:24:00 MSK 2025","TestCreateUser","test_login_user","",""
"","65","Создание заказа без ингередиентов.Ожидаемый результат: 400","tests","Mon May 05 18:24:00 MSK 2025","passed","Mon May 05 18:24:00 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","168","Авторизации пользователя с неверным логином и паролем.Ожидаемый результат: 401","tests","Mon May 05 18:24:00 MSK 2025","passed","Mon May 05 18:24:00 MSK 2025","TestCreateUser","test_login_user","",""
"","143","авторизации пользователя с валидными данными.Ожидаемый результат: 200","tests","Mon May 05 18:23:59 MSK 2025","passed","Mon May 05 18:23:59 MSK 2025","TestCreateUser","test_login_user","",""
"","71","Создание заказа с ингредиентами без авторизации пользователя.Ожидаемый результат: 200","tests","Mon May 05 18:24:00 MSK 2025","passed","Mon May 05 18:24:00 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","63","Создание пользователя  без одного из полей:  403","tests","Mon May 05 18:23:59 MSK 2025","passed","Mon May 05 18:23:59 MSK 2025","TestCreateUser","test_creating_user","",""
"","65","Изменение данных пользователя с авторизацией.Ожидаемый результат: 200","tests","Mon May 05 18:24:05 MSK 2025","passed","Mon May 05 18:24:05 MSK 2025","TestUpdatesUser","test_upd_user_data","",""
"","62","Создание пользователя  без одного из полей:  403","tests","Mon May 05 18:23:59 MSK 2025","passed","Mon May 05 18:23:59 MSK 2025","TestCreateUser","test_creating_user","",""
"","63","Изменение данных пользователя без авторизации.Ожидаемый результат: 401","tests","Mon May 05 18:24:05 MSK 2025","passed","Mon May 05 18:24:05 MSK 2025","TestUpdatesUser","test_upd_user_data","",""
"","73","Изменение данных пользователя с авторизацией.Ожидаемый результат: 200","tests","Mon May 05 18:24:05 MSK 2025","passed","Mon May 05 18:24:05 MSK 2025","TestUpdatesUser","test_upd_user_data","",""
"","3373","Получение заказа авторизованного пользователя.Ожидаемый результат: 200","tests","Mon May 05 18:24:01 MSK 2025","passed","Mon May 05 18:24:04 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","62","Создание пользователя который уже зарегистрирован:  403","tests","Mon May 05 18:23:58 MSK 2025","passed","Mon May 05 18:23:58 MSK 2025","TestCreateUser","test_creating_user","",""
"","0","Создание нового пользователя с валидными данными.Ожидаемый результат: 200","tests","Mon May 05 18:23:58 MSK 2025","passed","Mon May 05 18:23:58 MSK 2025","TestCreateUser","test_creating_user","",""
"","61","Создание заказа с невалидным хеш ингредиента.Ожидаемый результат: 500","tests","Mon May 05 18:24:01 MSK 2025","passed","Mon May 05 18:24:01 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","71","Получение заказа пользователя без авторизации.Ожидаемый результат: 401","tests","Mon May 05 18:24:04 MSK 2025","passed","Mon May 05 18:24:04 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","62","Создание пользователя  без одного из полей:  403","tests","Mon May 05 18:23:58 MSK 2025","passed","Mon May 05 18:23:58 MSK 2025","TestCreateUser","test_creating_user","",""
