"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","Авторизации пользователя с неверным логином и паролем.Ожидаемый результат: 401","tests","Sun May 04 11:56:32 MSK 2025","passed","Sun May 04 11:56:32 MSK 2025","TestCreateUser","test_login_user","",""
"","1","Создание нового пользователя с валидными данными.Ожидаемый результат: 200","tests","Sun May 04 11:56:30 MSK 2025","passed","Sun May 04 11:56:30 MSK 2025","TestCreateUser","test_creating_user","",""
"","60","Создание пользователя  без одного из полей:  403","tests","Sun May 04 11:56:31 MSK 2025","passed","Sun May 04 11:56:31 MSK 2025","TestCreateUser","test_creating_user","",""
"","64","Создание пользователя  без одного из полей:  403","tests","Sun May 04 11:56:31 MSK 2025","passed","Sun May 04 11:56:31 MSK 2025","TestCreateUser","test_creating_user","",""
"","172","авторизации пользователя с валидными данными.Ожидаемый результат: 200","tests","Sun May 04 11:56:32 MSK 2025","passed","Sun May 04 11:56:32 MSK 2025","TestCreateUser","test_login_user","",""
"","69","Изменение данных пользователя без авторизации.Ожидаемый результат: 401","tests","Sun May 04 11:56:37 MSK 2025","passed","Sun May 04 11:56:37 MSK 2025","TestUpdatesUser","test_upd_user_data","",""
"","69","Изменение данных пользователя с авторизацией.Ожидаемый результат: 200","tests","Sun May 04 11:56:37 MSK 2025","passed","Sun May 04 11:56:37 MSK 2025","TestUpdatesUser","test_upd_user_data","",""
"","64","Создание пользователя который уже зарегистрирован:  403","tests","Sun May 04 11:56:31 MSK 2025","passed","Sun May 04 11:56:31 MSK 2025","TestCreateUser","test_creating_user","",""
"","74","Создание заказа с ингредиентами без авторизации пользователя.Ожидаемый результат: 200","tests","Sun May 04 11:56:32 MSK 2025","passed","Sun May 04 11:56:32 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","66","Авторизации пользователя с неверным логином и паролем.Ожидаемый результат: 401","tests","Sun May 04 11:56:32 MSK 2025","passed","Sun May 04 11:56:32 MSK 2025","TestCreateUser","test_login_user","",""
"","70","Создание заказа с невалидным хеш ингредиента.Ожидаемый результат: 500","tests","Sun May 04 11:56:33 MSK 2025","passed","Sun May 04 11:56:33 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","67","Создание заказа без ингередиентов.Ожидаемый результат: 400","tests","Sun May 04 11:56:33 MSK 2025","passed","Sun May 04 11:56:33 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","60","Получение заказа пользователя без авторизации.Ожидаемый результат: 401","tests","Sun May 04 11:56:36 MSK 2025","passed","Sun May 04 11:56:37 MSK 2025","TestOrdersCreation","test_orders_creation","",""
"","63","Изменение данных пользователя с авторизацией.Ожидаемый результат: 200","tests","Sun May 04 11:56:37 MSK 2025","passed","Sun May 04 11:56:37 MSK 2025","TestUpdatesUser","test_upd_user_data","",""
"","70","Создание пользователя  без одного из полей:  403","tests","Sun May 04 11:56:31 MSK 2025","passed","Sun May 04 11:56:31 MSK 2025","TestCreateUser","test_creating_user","",""
"","3345","Получение заказа авторизованного пользователя.Ожидаемый результат: 200","tests","Sun May 04 11:56:33 MSK 2025","passed","Sun May 04 11:56:36 MSK 2025","TestOrdersCreation","test_orders_creation","",""
